Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Babolat,Pure Drive 110,110 in² / 710 cm²,High - 61% (67 RA),50-59 lbs / 23-27 kg,Graphite,Medium,Medium
Babolat,Pure Drive 110 2015,110 in² / 710 cm²,High - 61% (67 RA),50-59 lbs / 23-27 kg,Graphite,Medium,Medium
Babolat,Pure Drive 110 2021,110 in / 709.68 cm,High - 76% (70 RA),50-59 pounds,Graphite,Medium-High,Slow-Moderate
Babolat,Pure Drive 2012,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),50-62 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive 2015,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),50-66 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive 2021,100 in² / 645.16 cm²,Very high - 80% (71 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive 260 French Open,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-62 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Lite,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-62 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Lite 2012,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-62 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Lite 2015,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-62 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Lite 2021,100 in / 645.16 cm,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Lite Pink,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-62 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Plus,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),50-66 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Plus 2012,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),50-62 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Plus 2015,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),50-66 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Plus 2021,100 in / 645.16 cm,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Roddick,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-65 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Roddick 2012,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-65 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Roddick Plus,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-65 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Roddick Plus 2012,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-65 pounds,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Team,100 in² / 645 cm²,High - 71% (69 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Team 2015,100 in² / 645 cm²,High - 71% (69 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Team 2021,100 in / 645.16 cm,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Team Wimbledon,100 in² / 645 cm²,High - 71% (69 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Tour,100 in² / 645 cm²,High - 76% (70 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Tour 2015,100 in² / 645 cm²,High - 76% (70 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Tour 2021,100 in / 645.16 cm,High - 76% (70 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Tour Plus,100 in² / 645 cm²,Very high - 80% (71 RA),50-59 lbs / 23-27 kg,Graphite,Medium,Medium-Fast
Babolat,Pure Drive Tour Plus 2015,100 in² / 645 cm²,Very high - 80% (71 RA),50-59 lbs / 23-27 kg,Graphite,Medium,Medium-Fast
Babolat,Pure Drive VS,98 in² / 632.26 cm²,High - 66% (68 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Drive Wimbledon,100 in² / 645 cm²,Very high - 85% (72 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 100,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),52-62 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 100 3rd Gen,100 in² / 645.16 cm²,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 16x19,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 16x19 (Project One7),98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 16x19 3rd Gen,98 in² / 632.26 cm²,Average - 57% (66 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 18x20,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite,Low,Fast
Babolat,Pure Strike 18x20 3rd Gen,98 in² / 632.26 cm²,Average - 57% (66 RA),50-59 pounds,Graphite,Low,Fast
Babolat,Pure Strike 98 16x19 (Project One7),98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike 98 18x20,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),50-59 pounds,Graphite,Low,Fast
Babolat,Pure Strike Team,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike Team 3rd Gen,100 in² / 645.16 cm²,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike Team Wimbledon,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike Tour,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),52-62 pounds,Graphite,Low,Fast
Babolat,Pure Strike Tour 3rd Gen,98 in² / 632.26 cm²,Average - 52% (65 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike VS,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike VS Tour,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Strike Wimbledon 16x19,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Strike G,102 in² / 658.06 cm²,High - 61% (67 RA),50-55 pounds,Graphite,Low-Medium,Medium-Fast
